job_title,contract_type,salary_avg,salary_min,salary_max,offer_count
Analytics Engineer,CDI,53000,48000,58000,2
Data Analyst,CDD,35000,32000,38000,2
ML Engineer,CDI,70000,60000,80000,2
Data Engineer Python,CDI,50000,40000,60000,3
Data Engineer / Tech Lead,CDI,44000,40000,48000,3
Data Analyst,CDI,25000,10000,40000,3
Ingénieur En Machine Learning,Autre,625,600,650,1
Lead Data Scientist,CDI,85000,80000,90000,3
Data Scientist Sénior (It),Autre,475,450,500,1
Data Scientist Ia Générative (It),Autre,290,100,480,3
Data Engineer (It),Autre,487,400,650,10
Senior Machine Learning Engineer,Autre,70000,55000,85000,3
Senior Data Scientist,CDI,60000,55000,65000,3
Data Analyst Dataiku,CDI,57000,40000,74000,3
Data Analyst Monétique,Autre,55000,30000,80000,3
Data Scientist,CDI,53000,42000,75000,6
Data Engineer Databricks,CDI,51250,45000,60000,2
Data Scientist,Autre,50111,40000,65000,18
Ingenieur Projet Technique Machine Learning,Autre,47500,45000,50000,3
Data Engineer,Autre,46250,42000,50000,4
Data Engineer,CDI,45917,35000,60000,12
Consultant Data Scientist,Autre,45000,35000,55000,4
Ingénieur Machine Learning - Traitement De La Voix,Autre,42500,35000,50000,3
Data Scientist Confirmé,CDI,42500,40000,45000,3
Ingénieur Devops Machine Learning,Autre,42500,40000,45000,3
Data Engineer Big Data / Bi,Autre,42000,38000,46000,1
Data Analyst En Industrie,Autre,38000,38000,38000,1
Data Analyst,Autre,36355,900,65000,19
